,date,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt
169,1940-01-31,-0.0242149,-0.02561323,-0.01997801,-0.02167254,-0.03522818,12.05,38533043.7,783.0,39420000.2,777.0
170,1940-02-29,0.01475754,0.009781705,0.02973325,0.02682542,0.006639004,12.13,38916710.0,783.0,38533043.7,783.0
171,1940-03-30,0.01864297,0.01460406,0.02616775,0.02273878,0.009892828000000001,12.25,39518662.1,786.0,38916710.0,783.0
172,1940-04-30,0.0008372561,-0.0009295185,0.01311511,0.01126247,-0.004897959,12.19,39494279.7,787.0,39518662.1,786.0
173,1940-05-31,-0.221112,-0.2270364,-0.2697543,-0.2730089,-0.2395406,9.27,30548265.0,785.0,39491900.2,783.0
174,1940-06-29,0.06685613,0.06111708,0.06654999,0.06136852,0.07659116,9.98,32433146.8,787.0,30548265.0,785.0
175,1940-07-31,0.03192315,0.0300306,0.03680459,0.03436905,0.03106212,10.29,33422836.400000002,789.0,32433146.8,786.0
176,1940-08-31,0.02429623,0.0176306,0.02322103,0.01967442,0.02623907,10.56,34002889.7,787.0,33413784.700000003,786.0
177,1940-09-30,0.02311811,0.01819161,0.03720747,0.03286142,0.009469697000000001,10.66,34665958.9,790.0,34001652.0,785.0
178,1940-10-31,0.0301431,0.028254,0.04921839,0.04681666,0.03939962,11.08,35654698.5,790.0,34664437.1,788.0
179,1940-11-30,-0.01675246,-0.02688218,-0.001668956,-0.008122711000000001,-0.04241877,10.61,34730508.9,794.0,35654698.5,790.0
180,1940-12-31,0.006585705000000001,-0.001261003,-0.01878936,-0.02876698,-0.002827521,10.58,34823119.7,792.0,34726025.5,791.0
181,1941-01-31,-0.04122673,-0.04285342,-0.007317283000000001,-0.009705558000000001,-0.04820416,10.07,33370915.1,794.0,34821619.7,791.0
182,1941-02-28,-0.01380112,-0.019944,-0.01940923,-0.02330908,-0.01489573,9.92,32702122.8,793.0,33354062.6,791.0
183,1941-03-31,0.009514603,0.003859863,0.01430815,0.008994216000000001,0.004032258,9.96,32840146.700000003,797.0,32702122.8,792.0
184,1941-04-30,-0.05401833,-0.05586177,-0.05738181,-0.06001171,-0.06526104,9.31,31012670.0,797.0,32833295.8,795.0
185,1941-05-31,0.01314046,0.005155658,0.01010462,0.005239958,0.004296456000000001,9.35,31177512.8,798.0,31012670.0,797.0
186,1941-06-30,0.05849508,0.05156917,0.06690826,0.06008545,0.05347594,9.85,32787801.0,796.0,31177383.400000002,796.0
187,1941-07-31,0.05954285,0.05728114,0.1301386,0.1272996,0.05482234,10.39,34700928.5,797.0,32784261.0,795.0
188,1941-08-30,-0.001156274,-0.007953304000000001,-0.007180367000000001,-0.01113511,-0.008662175000000001,10.3,34472096.7,797.0,34700802.5,796.0
189,1941-09-30,-0.007611061000000001,-0.01275818,-0.02044803,-0.02584544,-0.009708738,10.2,34057316.9,799.0,34472025.2,796.0
190,1941-10-31,-0.05292592,-0.05529963,-0.06203008,-0.06513119,-0.06862745,9.5,32209432.700000003,800.0,34057316.9,799.0
191,1941-11-29,-0.02027067,-0.03268477,-0.03420927,-0.04282458,-0.04210526,9.1,31137234.8,798.0,32199176.8,797.0
192,1941-12-31,-0.04669163,-0.05660914,-0.08188569,-0.09586199000000001,-0.04505495,8.69,29493311.5,800.0,31137234.8,798.0
193,1942-01-31,0.008978517,0.007175041,0.1308135,0.1280047,0.01380898,8.81,29705375.3,801.0,29491311.5,799.0
194,1942-02-28,-0.02365086,-0.02996957,-0.01757878,-0.02225923,-0.02497162,8.59,28815872.3,801.0,29705375.3,801.0
195,1942-03-31,-0.06514447,-0.07173388,-0.05224002,-0.05903315,-0.06752037,8.01,26761999.200000003,803.0,28803472.700000003,799.0
196,1942-04-30,-0.04358327,-0.04599215,-0.04625955,-0.04935399,-0.04369538,7.66,25548513.900000002,804.0,26755873.400000002,801.0
197,1942-05-29,0.06017389,0.0523934,0.02887898,0.02353756,0.06396867,8.15,26893925.1,806.0,25548513.900000002,804.0
198,1942-06-30,0.02577185,0.01822644,0.02508622,0.01777538,0.01840491,8.3,27382783.6,805.0,26892795.200000003,805.0
199,1942-07-31,0.03532647,0.03281493,0.04640497,0.04342792,0.0313253,8.56,28277068.0,804.0,27369608.8,802.0
200,1942-08-31,0.01840786,0.01191974,0.02830396,0.02347943,0.007009346,8.62,28626060.6,805.0,28277068.0,804.0
201,1942-09-30,0.0270694,0.02107176,0.04755666,0.04159652,0.02668213,8.85,29232043.400000002,806.0,28626060.6,805.0
202,1942-10-31,0.06908754,0.06705298,0.1012935,0.09873582,0.06440678,9.42,31183138.900000002,804.0,29223605.900000002,804.0
203,1942-11-30,0.001176534,-0.009144468000000001,-0.01317665,-0.0226463,-0.01380042,9.29,30897989.5,804.0,31183138.900000002,804.0
